"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Exploring Remote Collaborative Tasks: The Impact of Avatar Representation on Dyadic Haptic Interactions in Shared Virtual Environments","G. Sasaki; H. Igarashi","Department of Electrical and Electronic System Engineering, Graduate School of Advanced Science and Technology, Tokyo Denki University, Tokyo, Japan; Department of Electrical and Electronic System Engineering, Tokyo Denki University, Tokyo, Japan",IEEE Transactions on Visualization and Computer Graphics,"4 Sep 2025","2025","31","10","8846","8858","This study is the first to explore the interplay between haptic interaction and avatar representation in Shared Virtual Environments (SVEs). Specifically, how these factors shape users’ sense of social presence during dyadic collaborations, while assessing potential effects on task performance. In a series of experiments, participants performed the collaborative task with haptic interaction under four avatar representation conditions: avatars of both participant and partner were displayed, only the participant’s avatar was displayed, only the partner’s avatar was displayed, and no avatars were displayed. The study finds that avatar representation, especially of the partner, significantly enhances the perception of social presence, which haptic interaction alone does not fully achieve. However, neither the presence nor the type of avatar representation impacts the task performance or participants’ force effort of the task, suggesting that haptic interaction provides sufficient interaction cues for the execution of the task. These results underscore the significance of integrating both visual and haptic modalities to optimize remote collaboration experiences in virtual environments, ensuring effective communication and a strong sense of social presence.","1941-0506","","10.1109/TVCG.2025.3580546","Research Institute for Science and Technology, Tokyo Denki University(grant numbers:Q23D-07,Q24D-01); Japan and JSPS KAKENHI(grant numbers:22H01455); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11039141","HCI;avatar representation;haptic interaction;haptic communication;remote collaboration;virtual human;social interaction;collaborative virtual environments;shared virtual environments","Avatars;Haptic interfaces;Collaboration;Visualization;Virtual environments;User experience;Force;Communication channels;Psychology;Tracking","Humans;Male;Female;Virtual Reality;Young Adult;Computer Graphics;User-Computer Interface;Adult;Cooperative Behavior;Task Performance and Analysis;Interpersonal Relations;Touch;Avatar","","","72","CCBY","17 Jun 2025","","","IEEE","IEEE Journals"
"Decentralized H2 optimal control of haptic interfaces for a shared virtual environment","M. Kristalny; J. H. Cho","Faculty of Mechanical Engineering, Technion-IIT, Haifa, Israel; Automatic Control LTH, Lund University, Lund, Sweden",52nd IEEE Conference on Decision and Control,"10 Mar 2014","2013","","","5204","5209","Decentralized control of haptic interface devices for a shared virtual environment over delayed communication is considered. We show that allowing indirect communication between the interface devices via the virtual environment site may greatly facilitate controller synthesis and analysis by rendering the problem quadratically invariant. In particular, this allows us to find an insightful structure possessed by all stabilizing controllers within the proposed architecture and to show that this structure offers stability of the system regardless the delay length. We show also that within the proposed control architecture, the global H2 optimization can be reduced to a number of uncoupled model matching problems with multiplicative delays.","0191-2216","978-1-4673-5717-3","10.1109/CDC.2013.6760707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6760707","","Virtual environments;Delays;Haptic interfaces;Optimization;Stability analysis;Dynamics;Numerical stability","","2","","25","IEEE","10 Mar 2014","","","IEEE","IEEE Conferences"
"Toward Volume-Based Haptic Collaborative Virtual Environment with Realistic Sensation","T. Tanaka; S. Yamaguchi; L. Jooho; N. Shimada; H. T. Tanaka","Computer Vision Laboratory, Ritsumeikan University, Kusatsu, Japan; Computer Vision Laboratory, Ritsumeikan University, Kusatsu, Japan; Computer Vision Laboratory, Ritsumeikan University, Kusatsu, Japan; Computer Vision Laboratory, Ritsumeikan University, Kusatsu, Japan; Computer Vision Laboratory, Ritsumeikan University, Kusatsu, Japan",2008 Second International Symposium on Universal Communication,"22 Dec 2008","2008","","","268","273","In this paper, we propose a volume-based realistic communication system called Haptic Communication that allows participants to interact in real-time with others at remote locations on the network in haptic perception (sense of touch) of soft objects in virtual environments. To provide sense of touch at remote locations in real-time we construct the system as follows. At first virtual soft objects are represented by adaptive volume model in the PCs at the remote locations. Next, from the parameters of positions and forces at contacting points transmitted via network, at each PC the reflection force of the soft object is calculated rapidly and accurately. Eventually, as a result the haptic and visual information are rendered by means of a haptic device PHANToM and a volume graphic software at the PCs. We investigated the efficiency of our system via experiments on a simulation of needle insertion with high force feedback rates at remote locations on a WAN between Ritsumeikan University, Biwako Kusatsu Campus and Osaka University, Toyonaka Campus. The experiment results show that the delay due to network traffic is negligible.","","978-0-7695-3433-6","10.1109/ISUC.2008.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4724472","Realistic-Communication;Telexistence;Haptics;Volume Model;Adaptive-Grid","Haptic interfaces;Collaboration;Virtual environment;Real time systems;Personal communication networks;Reflection;Rendering (computer graphics);Imaging phantoms;Graphics;Needles","","","","13","IEEE","22 Dec 2008","","","IEEE","IEEE Conferences"
"Tandem Canoeing over the Internet using Haptic Feedback","J. Tang; C. Carignan; P. Olsson","Imaging Science and Information Systems Center, George town University, Washington D.C., DC, USA; Imaging Science and Information Systems Center, George town University, Washington D.C., DC, USA; Department of Electrical Engineering, Royal Institute of Technology, Stockholm, Sweden",2006 14th Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems,"8 May 2006","2006","","","281","285","A cooperative tandem canoeing task with haptic feedback is developed for internet application. A pair of InMotion2 robots provide stroke commands to the boat and force feedback to the operators while a flat screen panel displays the virtual environment to the participants. OpenInventor is used to generate the graphical environment while a realistic dynamics engine runs concurrently on an RT Linux box. Experimental results are presented for racing a straightline canoe course, and future work involving new input devices and virtual environments are discussed.","2324-7355","1-4244-0226-3","10.1109/HAPTIC.2006.1627130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1627130","cooperative manipulation;haptic feedback;time delay","Internet;Haptic interfaces;Virtual environment;Graphics;Force feedback;Robots;Robotic assembly;Linux;Virtual reality;Intersymbol interference","","","","15","IEEE","8 May 2006","","","IEEE","IEEE Conferences"
"Influences of haptic communication on a shared manual task","A. Chellali; C. Dumas; I. Milleville-Pennel",NA; NA; NA,Interacting with Computers,"18 Jan 2018","2011","23","4","317","328","With the advent of new haptic feedback devices, researchers are giving serious consideration to the incorporation of haptic communication in collaborative virtual environments. For instance, haptic interactions based tools can be used for medical and related education whereby students can train in minimal invasive surgery using virtual reality before approaching human subjects. To design virtual environments that support haptic communication, a deeper understanding of humans′ haptic interactions is required. In this paper, human′s haptic collaboration is investigated. A collaborative virtual environment was designed to support performing a shared manual task. To evaluate this system, 60 medical students participated to an experimental study. Participants were asked to perform in dyads a needle insertion task after a training period. Results show that compared to conventional training methods, a visual-haptic training improves user′s collaborative performance. In addition, we found that haptic interaction influences the partners′ verbal communication when sharing haptic information. This indicates that the haptic communication training changes the nature of the users′ mental representations. Finally, we found that haptic interactions increased the sense of copresence in the virtual environment: haptic communication facilitates users′ collaboration in a shared manual task within a shared virtual environment. Design implications for including haptic communication in virtual environments are outlined.","1873-7951","","10.1016/j.intcom.2011.05.002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8147065","Haptic communication;Common ground;Collaborative virtual environments;User-centred design;HCI","","","6","","","","18 Jan 2018","","","OUP","OUP Journals"
"The use of a proximity agent in a collaborative virtual environment with 6 degrees-of-freedom voxel-based haptic rendering","A. Prior; K. Haines","School of Computer Science and Software Engineering, University of Western Australia, Australia; School of Computer Science and Software Engineering, University of Western Australia, Australia",First Joint Eurohaptics Conference and Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems. World Haptics Conference,"4 Apr 2005","2005","","","631","632","The extension of software designed primarily for a single-user haptic environment to a multi-user collaborative environment presents challenges on several fronts. This paper discusses the use of a proximity agent to overcome problems associated with the time allowances for collision detection and subsequent force/torque generation between pairs of dynamic objects in a voxel-based collaborative haptic environment.","","0-7695-2310-2","10.1109/WHC.2005.137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1407035","","Collaboration;Virtual environment;Haptic interfaces;Object detection;Testing;Torque;Collaborative software;Computer science;Software engineering;Software design","","3","","2","IEEE","4 Apr 2005","","","IEEE","IEEE Conferences"
"An efficient hybrid multicast transport protocol for collaborative virtual environment with networked haptic","A. Boukerche; H. Maamar","PARADISE Research Laboratory, SITE, University of Ottawa, Canada; PARADISE Research Laboratory, SITE, University of Ottawa, Canada",2006 IEEE International Workshop on Haptic Audio Visual Environments and their Applications (HAVE 2006),"15 Jan 2007","2006","","","78","83","In recent years, we have witnessed a growing interest in synchronous collaboration based class of applications. Several techniques for collaborative virtual environments CVE, haptic, audio and visual environments C-HAVE were designed. However several challenging issues remain to be resolved before CVE and C-HAVE become a common place. In this paper, we focus upon applications that are based on closely coupled and highly synchronized haptic tasks that require a high- level of coordination among the participants. Four main protocols were designed to resolve the synchronization issues in such environments: the synchronous collaboration transport protocol (SCTP), the selective reliable transmission protocol (SRTP), the reliable multicast transport protocol (RMTP) and the scalable reliable multicast (SRM). While these four protocols have shown good performance for CVE and C-HAVE class of applications, none of these protocols was able to meet all the of the basic CVE requirement i.e., scalability, reliability, synchronization and minimum delays. In this paper, we present a hybrid protocol that is able to satisfy all the CVE and C-HAVE requirements and discuss its implementation","","1-4244-0760-5","10.1109/HAVE.2006.283778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4062554","","Multicast protocols;Transport protocols;Collaboration;Virtual environment;Haptic interfaces;Decision support systems;Virtual reality","","1","","20","IEEE","15 Jan 2007","","","IEEE","IEEE Conferences"
"Haptic Designation Tool to Improve Working Strategy in Collaborative Virtual Environment","A. Girard; M. Ammi","INRIA, Rennes; Univ. Paris Sud/LIMSI-CNRS","2015 IEEE International Conference on Systems, Man, and Cybernetics","14 Jan 2016","2015","","","1321","1328","Coordinating team's work in a 3D Collaborative Virtual Environments is a real challenge. The communication constraints in such environments reduces the understanding between the partner's and thus complicates the team's coordintation. In order to facilitate the coordination, this paper proposes a hap tic tool for the designation of targets. This tool was experimented in a context of collaborative molecular design where one user designates tasks and coordinates the actions of two operators. The experimental results show an improvement of the working efficiency of the group and a better sharing of the activity between partners. Moreover, we observe that the hap tic guidance enables an accurate selection of targets which leads to an improvement of performance during the deformation process.","","978-1-4799-8697-2","10.1109/SMC.2015.235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7379367","Collaborative Virtual Environment;Haptic communication;Collaborative tools;Molecular modeling;team working","Haptic interfaces;Collaboration;Three-dimensional displays;Virtual environments;Computers;Force;Software","","","","17","IEEE","14 Jan 2016","","","IEEE","IEEE Conferences"
"Passive shared virtual environment for distributed haptic cooperation","R. Rakhsha; D. Constantinescu","Mechanical Engineering Department, University of Victoria, BC, Canada; Mechanical Engineering Department, University of Victoria, BC, Canada",2014 IEEE Haptics Symposium (HAPTICS),"20 Mar 2014","2014","","","221","226","For distributed haptic cooperation systems, this paper develops a framework for virtual environments such that the design of the coordinating controllers is decoupled from the network topology and the communication issues. The discrete-time n-port passivity of the shared virtual object (SVO) is presented when n SVO copies are distributed on an undirected and connected communication topology with unreliable data transmission. Wave nodes as passive network elements can be implemented on multilateral wave-based communication architecture to passively distribute power across the network. In this note, the wave node scheme introduced in [16] is employed to construct a passive wave-based network architecture in order to passively interconnect multiple discrete-time port-Hamiltonian local SVO copies alongside their coordinating controllers. The performance analysis shows that the proposed network architecture: (i) possesses n-port passivity over a network with time-varying delay and packet-loss; (ii) is lossless when subjected to communications with no time delay; and (iii) offers less dissipation comparing to the network structures built based on the node scheme proposed in [18]. Simulations in which a VO is shared among four peers across a network with constant and varying time-delay validate the analysis.","2324-7355","978-1-4799-3131-6","10.1109/HAPTICS.2014.6775458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6775458","Haptic cooperation;Port-Hamiltonian systems;Passive shared virtual object;Wave-based communication","Peer-to-peer computing;Delays;Haptic interfaces;Ports (Computers);PD control;Communication channels;Communication networks","","5","","29","IEEE","20 Mar 2014","","","IEEE","IEEE Conferences"
"A Peer-to-Peer Collaborative Virtual Environment for E-Commerce","M. Khoury; X. Shen; S. Shirmohammadi","Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER), School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER), School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER), School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, Canada",2007 Canadian Conference on Electrical and Computer Engineering,"30 Jul 2007","2007","","","828","831","The current e-commerce systems consist of a catalogue which online customers browse through, trying to emulate the real-life shopping experience. These customers, most of the times, are exposed to the product specifications in addition to some pictures and sometimes, animations. They do not undergo the same experience they would in reality: people often shop in groups and share opinions among each other and with product experts about items they browse before committing to purchase. All the pre-purchase experience is heavily undermined in the current electronic shopping emulation, potentially leading to reduced purchasing. However, this experience can be enhanced through Collaborative Virtual Environments (CVE). In this paper, we present a web-based e-commerce system where customers can collaboratively experience shopping with their online friends in real-time, and share the interaction with three dimensional virtual models of the items they are considering to buy available in the virtual shop. The system considers accessibility, a concern for any e-commerce application trying to attract as many customers as possible, and hence uses Macromedia Shockwave at the client side: a widely deployed free player. This differentiates our system from similar VR-based e-commerce systems that require VRML plug-ins or other nonstandard software at the client side. Another characteristic of the proposed system is its unique approach to supporting scalability. Realizing that collaborative shopping might lead to an increase in the number of shoppers browsing products simultaneously, scalability is an inevitable issue to deal with. We propose a peer-to-peer (P2P) architecture, where all peers provide resources and contribute in handling the scalability problem. The paper therefore focuses on two aspects: collaborative virtual environments in an e-commerce environment, and the application of peer-to-peer networking to such systems. Proof of concept and performance evaluations are also presented.","0840-7789","1-4244-1020-7","10.1109/CCECE.2007.212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4232871","","Peer to peer computing;Virtual environment;Scalability;Internet;Online Communities/Technical Collaboration;Business;Emulation;Social factors;Marketing and sales;Information technology","","3","","13","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
