Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep
J,Touching Virtual Humans: Haptic Responses Reveal the Emotional Impact of Affective Agents,2023,"Ahmed, Imtiaj and Harjunen, Ville and Jacucci, Giulio and Ravaja, Niklas and Ruotsalo, Tuukka and Spapé, Michiel",https://doi.org/10.1109/TAFFC.2020.3038137,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Telepresence,VR,Communication,Optimizing,Touch,Touch the agent,Social touch,N/A (touch),Virtual hand(s)
WJ,Object manipulation in visuo-haptic augmented reality with physics-based animation,2010,"Aleotti, Jacopo and Denaro, Francesco and Caselli, Stefano",https://doi.org/10.1109/ROMAN.2010.5598707,Synchronous,Co-located,2,Asymmetric,Object,Shared workspace,AR,Performance,Optimizing,Object manipulation: pointing,The objective of the task is again to move a rigid object (yellow box) towards a goal configuration.,Manipulating object,3 (translational),Pointer
J,Effects of network delay on a collaborative motor task with telehaptic and televisual feedback,2004,"Allison, Robert S. and Zacher, James E. and Wang, David and Shu, Joseph",https://doi.org/10.1145/1044588.1044670,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3 (translational),No visual representation
F,Intermodal audio–haptic intermodal display: improvement of communication and interpersonal awareness for collaborative search tasks,2015,"Ammi, Mehdi and Katz, Brian",https://doi.org/10.1007/s10055-015-0273-5,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Co-annotation,No visual input,Performance,Optimizing,Pointing,-,Pointing,2,No visual representation
J,I’m in control! Transferring object ownership between remote users with haptic props in virtual reality,2021,"Auda, Jonas and Busse, Leon and Pfeuffer, Ken and Gruenefeld, Uwe and Rivu, Radiah and Alt, Florian and Schneegass, Stefan",https://doi.org/10.1145/3485279.3485287,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,VR,Conflict-resolution,Optimizing,Object manipulation,-,Manipulating object,N/A (touch),Virtual hand(s)
F,Virtual interpersonal touch: Haptic interaction and copresence in collaborative virtual environments,2007,"Bailenson, Jeremy and Yee, Nick",https://doi.org/10.1007/s11042-007-0171-2 ,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Shared experience,VR,Performance,Optimizing,Pointing,virtual agent,Social touch,3,Pointer
J,An experimental study on the role of touch in shared virtual environments,2000,"Basdogan, Cagatay and Ho, Chih-Hao and Srinivasan, Mandayam A. and Slater, Mel",https://doi.org/10.1145/365058.365082,Synchronous,Remote: different rooms,2,Asymmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,No visual representation
WJ,Supporting parent-child collaborative learning through haptic feedback displays,2019,"Beheshti, Elham and Borgos-Rodriguez, Katya and Piper, Anne Marie",https://doi.org/10.1145/3311927.3323137,Synchronous,Co-located,2,Symmetric,Workspace,Shared experience,Screen (2DVE),Performance,Maximizing,Touch,Learn about electrical circuits in four tasks. (correct answers),Problem-solving,N/A (touch),No visual representation
WJ,Impact of Multimodal Instructions for Tool Manipulation Skills on Performance and User Experience in an Immersive Environment,2024,C. Simon and M. Boukli-Hacene and F. Lebrun and S. Otmane and A. Chellali,https://doi.org/10.1109/VR58804.2024.00087,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,VR,Performance,Optimizing,Object manipulation,"A trainer guides a trainee to move and manipulate a sphere (pick and place task), (trainer, trainee)",Steering,2 (translational),Virtual hand(s)
J,Incomplete information about the partner affects the development of collaborative strategies in joint action,2019,"Chackochan, Vinil and Sanguineti, Vittorio",https://doi.org/10.1371/journal.pcbi.1006385,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Pointing,Pointer/No visual representation (condition),Pointing,2 (translational),Pointer
J,Designing haptic icons to support collaborative turn-taking,2008,"Chan, Andrew and MacLean, Karon and McGrenere, Joanna",https://doi.org/10.1016/j.ijhcs.2007.11.002,Synchronous,Co-located: separated by obstacles,4,Symmetric,Object,Shared workspace,Screen (2DVE),Conflict-resolution,Optimizing,Pointing,-,Pointing,2,Pointer
J,Influences of haptic communication on a shared manual task,2011,"Chellali, Amine and Dumas, Cédric and Milleville-Pennel, Isabelle",https://www.sciencedirect.com/science/article/abs/pii/S0953543811000439,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,,Manipulating object,3,Virtual hand(s)
J,Performance related energy exchange in haptic human-human interaction in a shared virtual object manipulation task,2009,D. Feth and R. Groten and A. Peer and S. Hirche and M. Buss,https://doi.org/10.1109/WHC.2009.4810854,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Steering,1,Pointer
F,On Multi-Agent Cognitive Cooperation: Can virtual agents behave like humans?,2022,"D’Avella, Salvatore and Camacho-Gonzalez, Gerardo and Tripicchio, Paolo",https://doi.org/10.1016/j.neucom.2022.01.025,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (3DVE),Decision-making,Optimizing,Navigating,-,Navigating,2 (translational),No visual representation
F,Assessment of an articulatory interface for tactile intercommunication in immersive virtual environments,2018,"de Jesus Oliveira, Victor Adriel and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1016/j.cag.2018.07.007,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,VR,Decision-making,Optimizing,Communication,-,Cummunicating,NA,Avatar
WJ,Proactive haptic articulation for intercommunication in collaborative virtual environments,2016,"de Jesus Oliveira, Victor and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1109/3DUI.2016.7460036,Synchronous,Co-located,2,Symmetric,Object,Telepresence,VR,Performance,Optimizing,Object manipulation,Communicate which puzzle to choose by verbal and haptic,Notification,N/A (notification),Avatar
F,Usage of tactile feedback to assist cooperative object manipulations in virtual environments,2017,"de Oliveira, Thomas and Pinho, Márcio",https://doi.org/10.1109/SMC.2017.8122976,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,VR,Performance ,Optimizing,Object manipulation,-,Manipulating object,1,Pointer
