cleaned_year,source
2010,International Symposium in Robot and Human Interactive Communication
2016,IEEE Symposium on 3D User Interfaces (3DUI)
2014,ACM symposium on applied perception
2003,Proceedings of SPIE the International Society for Optical Engineering
2009,World Haptics
2023,ACM symposium on user interface software and technology
2018,IEEE Transactions on Haptics
2004,PRESENCE Virtual and Augmented Reality
2012,Computer Animation and Virtual Worlds
2024,IEEE RAS/EMBS International Conference for Biomedical Robotics and Biomechatronics (BioRob)
2008,Computers in Human Behavior
2008,Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems
2025,IEEE Transactions on Visualization and Computer Graphics
2022,IEEE Industrial Electronics Society Annual Conference (IECON)
2011,ACM international conference on human computer interaction with mobile devices and services
2016,Human Factors The Journal of the Human Factors and Ergonomics Society
2025,IEEE Transactions on Visualization and Computer Graphics
2022,ACM Transactions on Accessible Computing
2019,ACM international conference on interaction design and children
2024,IEEE Conference Virtual Reality and 3D User Interfaces (VR)
2019,"IEEE International Conference on Systems, Man and Cybernetics (SMC)"
2004,ACM international conference on Multimedia
2011,PRESENCE Virtual and Augmented Reality
2023,International Conference on Computer and Communications (ICCC)
2013,Proceedings of SPIE the International Society for Optical Engineering
2023,ACM international conference on mobile human-computer interaction
2010,Interacting with Computers
2019,ACM CHI conference on human factors in computing systems
2013,PRESENCE Virtual and Augmented Reality
2011,Virtual Reality
2021,Proceedings of the ACM on Human-Computer Interaction (ISS)
2011,Proceedings of the Human Factors and Ergonomics Society Annual Meeting
2020,International Journal of Human-Computer Interaction
2023,IEEE Transactions on Affective Computing
2004,ACM SIGGRAPH international conference on virtual reality continuum and its applications in industry
2015,Virtual Reality
2021,ACM Symposium on Spatial User Interaction
2007,Multimedia Tools and Applications
2000,ACM Transactions on Computer-Human Interaction
2019,PLoS Computational Biology
2008,International Journal of Human-Computer Studies
2011,Interacting with Computers
2009,World Haptics
2022,Neurocomputing
2018,Computers & Graphics
2017,"2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2025,IEEE Transactions on Visualization and Computer Graphics
2015,"IEEE International Conference on Systems, Man, and Cybernetics"
2012,IEEE Haptics Symposium (HAPTICS)
2009,IEEE/RSJ International Conference on Intelligent Robots and Systems
2018,ACM pervasive technologies related to assistive environments conference
2016,IEEE International Conference on Biomedical Robotics and Biomechatronics (BioRob)
2000,Virtual Reality
2002,IEEE Global Telecommunications Conference
2009,ACM International Conference on Advances in Computer Entertainment Technology
2014,"IEEE International Symposium on Haptic, Audio and Visual Environments and Games (HAVE)"
2007,Multimedia Systems
2019,IEEE Transactions on Haptics
2007,ACM Transactions on Computer-Human Interaction
2007,IEEE International Conference on Robotics and Automation/Proceedings
2018,IEEE Computer Graphics and Applications
2025,Proceedings of the ACM on Human-Computer Interaction (CSCW)
2011,IEEE International Conference on Robotics and Automation
2025,IEEE Transactions on Visualization and Computer Graphics
2007,IEEE Virtual Reality Conference
2020,ACM the augmented humans international conference
2013,ACM Transactions on Accessible Computing
2023,PRESENCE Virtual and Augmented Reality
2023,International Conference on Rehabilitation Robotics (ICORR)
2011,Design Studies
2018,"IEEE International Conference on Systems, Man, and Cybernetics (SMC)"
2010,IEEE Haptics Symposium
2000,ACM Transactions on Computer-Human Interaction
2021,Frontiers in Neurorobotics
2015,ACM Transactions on Applied Perception
2007,"Proceedings of SPIE, the International Society for Optical Engineering"
2004,IEEE International Symposium on Distributed Simulation and Real-Time Applications
2010,Eurographics
2008,Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems
2024,IEEE Transactions on Haptics
2022,Proceedings of the ACM on Human-Computer Interaction (CSCW)
2021,Education and Information Technologies
2012,ACM conference on computer supported cooperative work (CSCW)
2012,Interactive Learning Environments
