"title";"abstract";"cleaned_year";"author";"source";"link"
"HoloBots: Augmenting holographic telepresence with mobile robots for tangible remote collaboration in mixed reality";"This paper introduces HoloBots, a mixed reality remote collaboration system that augments holographic telepresence with synchronized mobile robots. Beyond existing mixed reality telepresence, HoloBots lets remote users not only be visually and spatially present, but also physically engage with local users and their environment. HoloBots allows the users to touch, grasp, manipulate, and interact with the remote physical environment as if they were co-located in the same shared space. We achieve this by synchronizing holographic user motion (Hololens 2 and Azure Kinect) with tabletop mobile robots (Sony Toio). Beyond the existing physical telepresence, HoloBots contributes to an exploration of broader design space, such as object actuation, virtual hand physicalization, world-in-miniature exploration, shared tangible interfaces, embodied guidance, and haptic communication. We evaluate our system with twelve participants by comparing it with hologram-only and robot-only conditions. Both quantitative and qualitative results confirm that our system significantly enhances the level of co-presence and shared experience, compared to the other conditions.";"2023";"Ihara, Keiichi and Faridan, Mehrad and Ichikawa, Ayumi and Kawaguchi, Ikkaku and Suzuki, Ryo";"Proceedings of the 36th annual ACM symposium on user interface software and technology";"https://doi.org/10.1145/3586183.3606727"
"How to notify team members during asynchronous remote collaboration supported by mixed reality: Comparing visual, audio and tactile notifications";"Solutions exploring Mixed Reality (MR) have been applied to remote scenarios, allowing to create a common ground. Literature reports that most studies focus on synchronous scenarios (team members interact in real-time). Therefore, an opportunity exists for asynchronous situations, in which collaborative actions occur at different moments and in which content is created/shared for later consumption. Hence, team members require notification methods to call their attention when new content is available. This work explored three notification cues: visual; audio; tactile, to comprehend which one captures the attention of team members easily. A user study was conducted with 26 participants to evaluate these conditions during asynchronous remote maintenance. The study was divided into two parts, focusing on the remote and on-site roles, given that both require methods to enhance their awareness. We report the results obtained, suggesting tactile cues represent the predominant condition for both roles.";"2023";"Marques, Bernardo and Ferreira, Carlos and Silva, Samuel and Dias, Paulo and Santos, Beatriz Sousa";"Proceedings of the 25th international conference on mobile human-computer interaction";"https://doi.org/10.1145/3565066.3608687"
"A haptic-enabled, distributed and networked immersive system for multi-user collaborative virtual reality";"Virtual Reality (VR) is gaining attention in various domains such as entertainment, industry, mental healthcare and VR training. Al- though most of these use-cases are still limited to single-user tasks, a lot of applications are heavily depending on multi-user collaboration. Existing multi-user VR systems are most often created in a classic server-client architecture, however, which induces unpredictable network behaviour which can affect the end-user's Quality-of-Experience (QoE) and performance. In addition, the interaction methods in these systems are often constrained to either traditional VR controllers or very use-case specific interaction methods, such that general purpose haptic gloves form a somewhat under-explored part of literature. Therefore, we (i) present a networked, distributed multi-user VR system with synchronization of environments over a low-bandwidth networked connection. In addition, we (ii) enhance the experience by adding haptic gloves to the system, which we compare to the traditional VR controllers in a subjective experiment. As a proof-of-concept, a use case is implemented in which two users have to prepare and bake a virtual pizza. The results show that high framerates (&gt; 90 Frames Per Second (FPS)) can be obtained while keeping network throughput to a minimum ( &lt; 1 Mbps). The accompanying user study shows that haptic gloves are preferred when immersiveness is the main emphasis of the virtual environment, while controllers are more suited when performance is in the center of attention. In objective terms, the applicability of haptic feedback is highly dependent on the task at hand.";"2023";"Van Damme, Sam and Van de Velde, Fangio and Sameri, Mohammad Javad and De Turck, Filip and Vega, Maria Torres";"Proceedings of the 2nd international workshop on interactive extended reality";"https://doi.org/10.1145/3607546.3616804"
"Which notification is better? Comparing visual, audio and tactile cues for asynchronous mixed reality (MR) remote collaboration: a user study";"Although Mixed Reality (MR) has been explored to support scenarios of remote collaboration, the majority of studies reported in literature have focused on synchronous use-cases, where all team-members can interact in real-time. Hence, an opportunity exist to explore asynchronous situations, in which collaborative actions take place at different times. Despite the physical distance and different time zones, remote experts can generate MR-instructions to assist with emerging problems, suggesting to on-site collaborators where to act, and what to do. This work explored three distinct notification methods for such scenarios: C1 - visual cue; C2 - audio cue; C3 - tactile cue, aiming to comprehend which one captures the attention of on-site team-members easily. A user study with 12 participants was conducted to evaluate these conditions during an asynchronous scenario of remote maintenance. We report participants insights, suggesting tactile cues represent the predominant condition given the scenario context.";"2022";"Marques, Bernardo and Silva, Samuel and Dias, Paulo and Sousa-Santos, Beatriz";"Proceedings of the 21st international conference on mobile and ubiquitous multimedia";"https://doi.org/10.1145/3568444.3570587"
"Everyday proxy objects for virtual reality";"Immersive virtual experiences are becoming ubiquitous in our daily lives. Besides visual and auditory feedback, other senses like haptics, smell and taste can enhance immersion in virtual environments. Most solutions presented in the past require specialized hardware to provide appropriate feedback. To mitigate this need, researchers conceptualized approaches leveraging everyday physical objects as proxies instead. Transferring these approaches to varying physical environments and conditions, however, poses significant challenges to a variety of disciplines such as HCI, VR, haptics, tracking, perceptual science, design, etc. This workshop will explore the integration of everyday items for multi-sensory feedback in virtual experiences and sets course for respective future research endeavors. Since the community still seems to lack a cohesive agenda for advancing this domain, the goal of this workshop is to bring together individuals interested in everyday proxy objects to review past work, build a unifying research agenda, share ongoing work, and encourage collaboration.";"2021";"Daiber, Florian and Degraen, Donald and Zenner, André and Döring, Tanja and Steinicke, Frank and Ariza Nunez, Oscar Javier and Simeone, Adalberto L.";"Extended abstracts of the 2021 CHI conference on human factors in computing systems";"https://doi.org/10.1145/3411763.3441343"
"Visuo-tactile mixed reality for offline cobot programming";"Manual guidance of a collaborative robot arm (i.e., moving the robot arm by hand) is a technique to program the robot without coding and in the context of the job. However, it requires the robot to be available and not in operation. As a workaround, we propose performing manual guidance on a hologram of that same robot, the feasibility of which we are investigating. A potential limitation of this approach is the lack of tangibility of the hologram, for which we are investigating the contribution that mid-air haptics (MAH) can make. Early results suggest beneficial effects from tactile feedback on AR pick-and-place.";"2020";"Rivera-Pinto, Andoni and Kildal, Johan";"Companion of the 2020 ACM/IEEE international conference on human-robot interaction";"https://doi.org/10.1145/3371382.3378290"
"HexTouch: Affective robot touch for complementary interactions to companion agents in virtual reality";"There is a growing need for social interaction in Virtual Reality (VR). Current social VR applications enable human-agent or interpersonal communication, usually by means of visual and audio cues. Touch, which is also an essential method for affective communication, has not received as much attention. To address this, we introduce HexTouch, a forearm-mounted robot that performs touch behaviors in sync with the behaviors of a companion agent, to complement visual and auditory feedback in virtual reality. The robot consists of four robotic tactors driven by servo motors, which render specific tactile patterns to communicate primary emotions (fear, happiness, disgust, anger, and sympathy). We demonstrate HexTouch through a VR game with physical-virtual agent interactions that facilitate the player-companion relationship and increase the immersion of the VR experience. The player will receive affective haptic cues while collaborating with the agent to complete the mission in the game. The multisensory system for affective communication also has the potential to enhance sociality in the virtual world.";"2020";"Zhou, Ran and Wu, Yanzhe and Sareen, Harpreet";"Proceedings of the 26th ACM symposium on virtual reality software and technology";"https://doi.org/10.1145/3385956.3422100"
"I’m in control! Transferring object ownership between remote users with haptic props in virtual reality";"Virtual Reality (VR) remote collaboration is becoming more and more relevant in a wide range of scenarios, such as remote assistance or group work. A way to enhance the user experience is using haptic props that make virtual objects graspable. But physical objects are only present in one location and cannot be manipulated directly by remote users. We explore different strategies to handle ownership of virtual objects enhanced by haptic props. In particular, two strategies of handling object ownership – SingleOwnership and SharedOwnership. SingleOwnership restricts virtual objects to local haptic props, while SharedOwnership allows collaborators to take over ownership of virtual objects using local haptic props. We study both strategies for a collaborative puzzle task regarding their influence on performance and user behavior. Our findings show that SingleOwnership increases communication and enhanced with virtual instructions, results in higher task completion times. SharedOwnership is less reliant on verbal communication and faster, but there is less social interaction between the collaborators.";"2021";"Auda, Jonas and Busse, Leon and Pfeuffer, Ken and Gruenefeld, Uwe and Rivu, Radiah and Alt, Florian and Schneegass, Stefan";"Symposium on Spatial User Interaction";"https://doi.org/10.1145/3485279.3485287"
"Citizen-centered design in urban planning: How augmented reality can be used in citizen participation processes";"Most participation processes in urban planning offer poor incentives, especially for young citizens, hence important citizen's needs are excluded. Our work aims at identifying the degree to which Augmented Reality (AR) might motivate young people. We developed an AR-app with Unity3D to create new interaction concepts for use cases in urban planning. Building projects and environment changes are visualized, so citizens can contribute design ideas to the process. Using a human-centered design approach, we invited different stakeholders to participate. We conducted 40 interviews and a survey, then interaction concepts were evolved by citizens in four participatory design workshops. Our findings show that AR can motivate increased participation in urban planning. We also demonstrate a new approach to engaging low-tech users in designing high-tech solutions such as AR systems by using haptic 3D-tools like Lego or clay. Furthermore, we propose ways in which AR could be used collaboratively and embedded in existing participation processes.";"2021";"Saßmannshausen, Sheree May and Radtke, Jörg and Bohn, Nino and Hussein, Hassan and Randall, Dave and Pipek, Volkmar";"Proceedings of the 2021 ACM designing interactive systems conference";"https://doi.org/10.1145/3461778.3462130"
"HexTouch: a wearable haptic robot for complementary interactions to companion agents in virtual reality";"We propose a forearm-mounted robot that performs complementary touches in relation to the behaviors of a companion agent in virtual reality (VR). The robot consists of a series of tactors driven by servo motors that render specific tactile patterns to communicate primary emotions (fear, happiness, disgust, anger, and sympathy) and other notification cues. We showcase this through a VR game with physical-virtual agent interactions that facilitate the player-companion relationship and increase user immersion in specific scenarios. The player collaborates with the agent to complete a mission while receiving affective haptic cues with the potential to enhance sociality in the virtual world.";"2020";"Zhou, Ran and Wu, Yanzhe and Sareen, Harpreet";"SIGGRAPH asia 2020 emerging technologies";"https://doi.org/10.1145/3415255.3422881"
