"","x"
"1","augmented reality"
"2","collaborative virtual environments"
"3","distributed collaboration"
"4","haptic communication"
"5","haptic interaction"
"6","haptic interfaces"
"7","remote collaboration"
"8","shared virtual environments"
"9","virtual environments"
"10","virtual reality"
"11","collaborative tasks"
"12","collaborative virtual"
"13","collaborative virtual environment"
"14","experimental study"
"15","force feedback"
"16","haptic collaboration"
"17","haptic feedback"
"18","immersive virtual"
"19","international conference"
"20","interpersonal communication"
"21","mixed reality"
"22","reality virtual"
"23","reality virtual reality"
"24","remote collaborative"
"25","results showed"
"26","shared virtual"
"27","shared virtual environment"
"28","verbal communication"
"29","virtual environment"
"30","virtual space"
