"","x"
"1","collaborative virtual environments"
"2","haptic interaction"
"3","virtual environments"
"4","virtual reality"
"5","collaborative tasks"
"6","collaborative virtual"
"7","collaborative virtual environment"
"8","communication channel"
"9","experimental study"
"10","force feedback"
"11","haptic communication"
"12","haptic device"
"13","haptic feedback"
"14","irtual environments"
"15","physical interaction"
"16","physical space"
"17","remote collaboration"
"18","shared virtual"
"19","shared virtual environment"
"20","social presence"
"21","verbal communication"
"22","virtual environment"
